Functional Location Name L6,Functional Location Type L6,Functional Location Id L6,Functional Location Name L5,Functional Location Type L5,Functional Location Id L5,Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Allambie Building,Building,102025,01. Basement,Floor,101618,BLDG Structure,Structure,101036,BLD102502,0109-01 Allambie Building-B,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Unit 4,Building,101949,01. Ground Floor,Floor,101477,BLDG Structure,Structure,100895,BLD102462,0791-01 Unit 4-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Lindsay Miller Building,Building,101978,01. Ground Floor,Floor,101531,BLDG Structure,Structure,100949,BLD102479,2020-01 Lindsay Miller Building-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,North East Soldiers Memorial Hospital (NESMH),Site,102096,District Hospital,Building,101999,01. Ground Floor,Floor,101573,BLDG Structure,Structure,100991,BLD102339,0136-01 District Hospital-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Gardener's Sheds,Building,101994,01. Ground Floor,Floor,101563,BLDG Structure,Structure,100981,BLD102460,0793-01 Gardener's Sheds -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Gardener Shed,Building,104779,01. Ground Floor,Floor,104790,BLDG Structure,Structure,104817,BLD162968,2102-01 Gardener Shed,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Unit 5,Building,101952,01. Ground Floor,Floor,101482,BLDG Structure,Structure,100900,BLD102463,0792-01 Unit 5-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Triabunna Station (TBAS),Site,102200,Ambulance - building vacant for disposal,Building,101914,01. Ground Floor,Floor,101417,BLDG Structure,Structure,100835,BLD102546,0713-01 Ambulance - building vacant for disposal -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Perth Child Health Centre (PCHC),Site,102171,Child Health Centre,Building,102054,01. Ground Floor,Floor,101632,BLDG Structure,Structure,101050,BLD102535,0239-01 Child Health Centre-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Campbell Town Ambulance Residence (CTMPSCAR),Site,102104,Residence,Building,101955,01. Ground Floor,Floor,101491,BLDG Structure,Structure,100909,BLD102393,0243-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Northern Region Ambulance Station (RASN),Site,102144,Ambulance Station,Building,101979,01. Ground Floor,Floor,101539,BLDG Structure,Structure,100957,BLD102493,0217-01 Ambulance Station -GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,ADEH Administration Building,Building,101710,02. First Floor,Floor,104815,BLDG Structure,Structure,104842,BLD162970,0610-02 ADEH Building-L1,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Ambulance Station,Building,101930,01. Ground Floor,Floor,101446,BLDG Structure,Structure,100864,BLD102283,0772-01 Ambulance Station-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Launceston General Hospital,Building,101923,02. Second Floor,Floor,101437,BLDG Structure,Structure,100855,BLD102488,0100-02 Launceston General Hospital-L2,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Mowbray - Oral Health & Child Health Clinic (MOH&CHC),Site,102156,Oral Health & Child Health Clinic,Building,102013,01. Ground Floor,Floor,101587,BLDG Structure,Structure,101005,BLD102520,2026-01 Oral Health & Child Health Clinic-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Invermay Day Care Centre (IDCC),Site,102136,Day Centre,Building,101967,01. Ground Floor,Floor,101515,BLDG Structure,Structure,100933,BLD102455,0226-01 Day Centre -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Longford Ambulance Station (LAS),Site,102150,Ambulance Station,Building,102082,01. Ground Floor,Floor,101663,BLDG Structure,Structure,101081,BLD102304,0832-01 Ambulance Station -GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Terry Street MHS (TEMHS),Site,102118,Mental Health Services,Building,101959,01. Ground Floor,Floor,101536,BLDG Structure,Structure,100954,BLD102412,0315-01 Mental Health Services-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,D Block - Infill building,Building,101895,02. First Floor,Floor,101426,BLDG Structure,Structure,100844,BLD102560,0121-02 D Block - Infill building-L1,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Devonport Community Health Centre (DCHC),Site,102113,Community Health Centre,Building,101746,01. Ground Floor,Floor,101167,BLDG Structure,Structure,100585,BLD100321,0140-01 Community Health Centre -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Admin & Allied Health,Building,101936,01. Ground Floor,Floor,101456,BLDG Structure,Structure,100874,BLD102469,0769-01 Admin & Allied Health -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0516),Building,101894,01. Ground Floor,Floor,101363,BLDG Structure,Structure,100781,BLD102645,0516-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Roy Fagan Centre (RFC),Site,102146,Zone 3,Building,102030,01. Ground Floor,Floor,101605,BLDG Structure,Structure,101023,BLD102514,0650-01 Zone 3-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,The Corner Launceston (TCL),Site,102145,Headspace Inc,Building,101957,01. Ground Floor,Floor,101526,BLDG Structure,Structure,100944,BLD102494,2022-01 Headspace Inc -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Hospital,Building,101944,01. Ground Floor,Floor,101532,BLDG Structure,Structure,100950,BLD102464,0122-01 Community Hospital-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Tasman Multi Purpose Service Centre Precinct (TMPSCP),Site,102166,A Block,Building,102044,01. Lower Ground Floor,Floor,101620,BLDG Structure,Structure,101038,BLD102528,0485-01 A Block-LGF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Workshop & Morgue,Building,101981,01. Ground Floor,Floor,101543,BLDG Structure,Structure,100961,BLD102472,0771-01 Workshop & Morgue-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Store / Workshop,Building,101899,01. Ground Floor,Floor,101374,BLDG Structure,Structure,100792,BLD102354,0238-01 Store / Workshop-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - K Block,Building,101860,07. Fifth Floor,Floor,101300,BLDG Structure,Structure,100718,BLD102628,0988-07 K Block -L5,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,THS - Administration Centre,Building,101934,02. First Floor,Floor,101452,BLDG Structure,Structure,100870,BLD102289,2072-02 THS - Administration Centre -L1,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Launceston General Hospital,Building,101923,04. Fourth Floor,Floor,101504,BLDG Structure,Structure,100922,BLD102485,0100-04 Launceston General Hospital-L4,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - D Block,Building,101871,09. Roof,Floor,104808,BLDG Structure,Structure,104835,BLD162985,0118-09 D Block-RF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Tolosa Street MHS (TOMHS),Site,102119,Unit 110A,Building,101961,01. Ground Floor,Floor,101502,BLDG Structure,Structure,100920,BLD102279,0611-01 Unit 110A-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Swansea Ambulance Garage (SAG),Site,102196,Ambulance Garage,Building,101902,01. Ground Floor,Floor,101389,BLDG Structure,Structure,100807,BLD102352,0938-01 Ambulance Garage-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - D Block,Building,101871,03. First Floor,Floor,101380,BLDG Structure,Structure,100798,BLD102586,0118-03 D Block -L1,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Family Accommodation Unit,Building,101953,01. Ground Floor,Floor,101483,BLDG Structure,Structure,100901,BLD102402,0835-01 Family Accommodation Unit-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nurse's Home 2,Building,102008,01. Ground Floor,Floor,101582,BLDG Structure,Structure,101000,BLD102509,0797-01 Nurse's Home 2  -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Helipad,Building,101872,02. First Floor,Floor,101316,BLDG Structure,Structure,100734,BLD102641,1005-02 Helipad-L1,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Launceston - Birthing Centre Inc,Building,101963,01. Ground Floor,Floor,101506,BLDG Structure,Structure,100924,BLD102284,0744-01 Launceston - Birthing Centre Inc-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - K Block,Building,101860,08. Sixth Floor,Floor,101308,BLDG Structure,Structure,100726,BLD102632,0988-08 K Block -L6,Active
DoH Tasmania,Organisation,100095,North,Region,100092,North East Soldiers Memorial Hospital (NESMH),Site,102096,Residence (Bridport),Building,101992,01. Ground Floor,Floor,101557,BLDG Structure,Structure,100975,BLD102381,0250-01 Residence (Bridport)-GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Equipment Scheme,Building,101985,01. Ground Floor,Floor,101550,BLDG Structure,Structure,100968,BLD102475,0770-01 Community Equipment Scheme-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,THS - Administration Centre,Building,101934,01. Ground Floor,Floor,101524,BLDG Structure,Structure,100942,BLD102286,2072-01 THS - Administration Centre -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,St Helens Ambulance Station (SHAS),Site,102189,Residence,Building,102074,01. Ground Floor,Floor,101655,BLDG Structure,Structure,101073,BLD102349,4799-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nurse's Home 1,Building,102088,01. Ground Floor,Floor,101671,BLDG Structure,Structure,101089,BLD102508,0106-01 Nurse's Home 1 -GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - F Block,Building,101859,03. Ground Floor,Floor,101299,BLDG Structure,Structure,100717,BLD102601,0736-03 F Block -GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Sorell Ambulance Station (SAS),Site,102186,Ambulance Garage,Building,102016,01. Ground Floor,Floor,101590,BLDG Structure,Structure,101008,BLD102348,0705-01 Ambulance Garage-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nurse's Home 1,Building,102088,02. First Floor,Floor,101631,BLDG Structure,Structure,101049,BLD102507,0106-02 Nurse's Home 1  -L1,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,D Block - Infill building,Building,101895,03. Second Floor,Floor,101367,BLDG Structure,Structure,100785,BLD102561,0121-03 D Block - Infill building-L2,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Admin & Allied Health,Building,101936,02. First Floor,Floor,101458,BLDG Structure,Structure,100876,BLD102470,0769-02 Admin & Allied Health -L1,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - D Block,Building,101871,06. Fourth Floor,Floor,101422,BLDG Structure,Structure,100840,BLD102597,0118-06 D Block -L4,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - A Block,Building,101861,14. Roof,Floor,104806,BLDG Structure,Structure,104833,BLD162977,0114-14 A Block- RF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Sexual Health Building,Building,102021,01. Ground Floor,Floor,101595,BLDG Structure,Structure,101013,BLD102301,0547-01 Sexual Health Building-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Cape Barren Island - Lady Barron Health Centre,Building,104880,01. Ground Floor,Floor,104867,BLDG Structure,Structure,104854,BLD163001,3003-01 Cape Barren - Lady Barron Health Centre-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Nelumie Flats Units 13 - 18,Building,102072,01. Ground Floor,Floor,101651,BLDG Structure,Structure,101069,BLD102498,0642-01 Nelumie Flats Units 13 - 18-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - F Block,Building,101859,09. Sixth Floor,Floor,101421,BLDG Structure,Structure,100839,BLD102605,0736-09 F Block -L6,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0993),Building,101904,01. Ground Floor,Floor,101391,BLDG Structure,Structure,100809,BLD102639,0993-01 Residence-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - H Block,Building,101870,11. Eighth floor,Floor,101317,BLDG Structure,Structure,100735,BLD102616,0113-11 H Block -L8,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Services Building,Building,102075,01. Ground Floor,Floor,101656,BLDG Structure,Structure,101074,BLD102295,0989-01 Services Building -GF,Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Community Hospital,Building,101944,03. Second Floor,Floor,101560,BLDG Structure,Structure,100978,BLD102467,0122-03 Community Hospital-L2,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - K Block,Building,101860,13. Eleventh Floor,Floor,101412,BLDG Structure,Structure,100830,BLD102634,0988-13 K Block -L11,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - C Block,Building,101869,08. Roof,Floor,104807,BLDG Structure,Structure,104834,BLD162984,0112-08 C Block-RF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Northern Dental Health Centre (NDHC),Site,102142,Oral Health Services,Building,101935,02. First Floor,Floor,101453,BLDG Structure,Structure,100871,BLD102481,2019-02 Oral Health Services-L1,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Northern Community Health Centre (Integrated Care Service),Building,101919,02. First Floor,Floor,101564,BLDG Structure,Structure,100982,BLD102292,0874-02 Northern Community Health Centre (Integrated Care Service)-L1,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - A Block,Building,101861,07. Fourth Floor,Floor,101416,BLDG Structure,Structure,100834,BLD102571,0114-07 A Block -L4,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Tolosa Street MHS (TOMHS),Site,102119,Unit 110C,Building,101976,01. Ground Floor,Floor,101529,BLDG Structure,Structure,100947,BLD102410,0636-01 Unit 110C-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Summerhill Child Health Centre (SHCHC),Site,102195,Child Health Centre,Building,101907,01. Ground Floor,Floor,101405,BLDG Structure,Structure,100823,BLD102350,2047-01 Child Health Centre-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Holman Clinic Patient & Student Accom & Spurr Wing,Building,102046,01. Ground Floor,Floor,101622,BLDG Structure,Structure,101040,BLD102511,0866-01 Holman Clinic Patient & Student Accom & Spurr Wing-GF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - H Block,Building,101870,02. Lower Ground Floor,Floor,101385,BLDG Structure,Structure,100803,BLD102608,0113-02 H Block -LGF,Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - K Block,Building,101860,09. Seventh Floor,Floor,101423,BLDG Structure,Structure,100841,BLD102631,0988-09 K Block -L7,Active
DoH Tasmania,Organisation,100095,North,Region,100092,North East Soldiers Memorial Hospital (NESMH),Site,102096,Store / Workshop,Building,102087,01. Ground Floor,Floor,101670,BLDG Structure,Structure,101088,BLD102340,0857-01 Store / Workshop-GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,George Town Hospital Precinct (GTHP),Site,102117,Residence,Building,101757,01. Ground Floor,Floor,101179,BLDG Structure,Structure,100597,BLD100409,2013-01 Residence -GF,Active
DoH Tasmania,Organisation,100095,North,Region,100092,Mowbray Ambulance Station (MBAS),Site,102155,Ambulance Station,Building,102068,01. Ground Floor,Floor,101647,BLDG Structure,Structure,101065,BLD102306,0801-01 Ambulance Station-GF,Active
