Functional Location Name L4,Functional Location Type L4,Functional Location Id L4,Functional Location Name L3,Functional Location Type L3,Functional Location Id L3,Functional Location Name L2,Functional Location Type L2,Functional Location Id L2,Functional Location Name L1,Functional Location Type L1,Functional Location Id L1,Asset Id,Asset Name,Asset Status
DoH Tasmania,Organisation,100095,South,Region,100094,Glenora (GLA),Site,102131,Glenora,Building,101954,BLD163358,GLA Glenora (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,West Coast District Hospital (WCDH),Site,102176,District Hospital,Building,101806,BLD163225,WCDH District Hospital (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Beaconsfield District Health Centre (BDHC),Site,102092,Garage & Workshop,Building,101747,BLD163253,BDHC Garage & Workshop (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,North East Soldiers Memorial Hospital (NESMH),Site,102096,District Hospital,Building,101999,BLD163127,NESMH District Hospital (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Westbury Community Health Centre (WCHC),Site,102207,Garage,Building,101712,BLD163262,WCHC Garage (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,The Corner Launceston (TCL),Site,102145,Headspace Inc,Building,101957,BLD163347,TCL Headspace Inc (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Smithton District Hospital Precinct (SDHP),Site,102185,Garage,Building,101805,BLD163325,SDHP Garage (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,Gym,Building,101722,BLD163255,WLSMHF Gym (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,West Coast District Hospital (WCDH),Site,102176,Flat 3,Building,101829,BLD163308,WCDH Flat 3 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Kingston Health Centre (KHC),Site,102138,Health Centre,Building,101767,BLD163330,KHC Health Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Patient Accommodation 1x 2 bedroom units,Building,101997,BLD163300,NWRHP Patient Accommodation 1x 2 bedroom units (0867)(BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Parenting Centre New Town (PCNT),Site,102163,Parenting Centre,Building,102078,BLD163410,(PCNT) Parenting Centre (2080)(BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Strahan Medical Centre (SMC),Site,102193,Residence,Building,101709,BLD163244,SMC Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Wingfield Building,Building,101781,BLD163092,SJP Wingfield Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,Residence (329),Building,101735,BLD163189,KIDHCHC Residence (0329) (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,St Johns Park (SJP),Site,102161,Woodhouse Building,Building,101809,BLD163373,SJP Woodhouse Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Smithton District Hospital Precinct (SDHP),Site,102185,Services Building,Building,101820,BLD163103,SDHP Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,George Town Hospital Precinct (GTHP),Site,102117,Residence,Building,101757,BLD163341,GTHP Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Repat Centre (RPTC),Site,102127,Southern Community Equipment Scheme Building,Building,101753,BLD163202,RPTC Southern Community Equipment Scheme Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Midlands Multi Purpose Health Centre (MMPHC),Site,102169,Physio Building,Building,101832,BLD163238,MMPHC Physio Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,New Norfolk District Hospital and Community Health Centre (NNDHCHC),Site,102158,Services Building,Building,101779,BLD163131,NNDHCHC Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Central Highlands Community Health Centre (CHCHC),Site,102170,Plant Room and Garage,Building,101794,BLD163175,CHCHC Plant Room and Garage (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Campbell Town Multipurpose Service Centre (CTMPSC),Site,102105,Pump house,Building,101725,BLD163245,CTMPSC Pump house (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Bruny Island Community Health Centre Precinct (BICHCP),Site,102090,Residence,Building,101754,BLD163205,BICHCP Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Royal Hobart Hospital Precinct (RHHP),Site,102125,RHH - Consultant office,Building,101941,BLD163183,RHHP RHH - Consultant office (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,District Hospital Services Building,Building,101682,BLD163192,KIDHCHC Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Deloraine UTAS accommodation (DDHCUA),Site,102111,Residence - UTAS,Building,101731,BLD163298,DDHCUA Residence - UTAS (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Oatlands THS staff residence (OTSR),Site,102168,Residence,Building,102028,BLD163307,OTSR Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence (0992),Building,101890,BLD163215,MCHP Residence (0992) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Burnie Community Health Service (BCHS),Site,102097,Services Building,Building,101732,BLD163157,BCHS Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 7 & 8,Building,101931,BLD163279,NWRHP Residence - Unit 7 & 8 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Repat Centre (RPTC),Site,102127,Services Building,Building,101752,BLD163204,RPTC Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Southern Dental Centre (SDC),Site,102160,Southern Dental Centre,Building,102086,BLD163081,SDC Southern Dental Centre (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,King Island District Hospital and Community Health Centre (KIDHCHC),Site,102108,Residential Units,Building,101926,BLD163194,KIDHCHC Residential Units (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence - Units 1 & 2,Building,101925,BLD163274,MCHP Residence - Units 1 & 2 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,St Mary's Community Health Centre (SMCHC),Site,102192,Residence - UTAS,Building,101693,BLD163170,SMCHC Residence - UTAS (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island  Doctor/Nurses' Residence (FIMPSCNR),Site,102208,Residence,Building,101881,BLD163160,FIMPSCNR Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Whitemark Residence (FIMPSCR),Site,102210,Residence,Building,101911,BLD163319,FIMPSCR Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Flinders Island Multi Purpose Service Centre (FIMPSC),Site,102209,Residence,Building,101882,BLD163350,FIMPSC Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 3 & 4,Building,101988,BLD163275,NWRHP Residence - Unit 3 & 4 (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Ronald McDonald House (RMDH),Site,102126,Ronald McDonald House,Building,101932,BLD163278,RMDH Ronald McDonald House (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Workshop & Morgue,Building,101981,BLD163272,MCHP Workshop & Morgue (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Cygnet Child Care Centre (CCCC),Site,102110,Schoolhouse Library,Building,101749,BLD163251,CCCC Schoolhouse Library (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,North East Soldiers Memorial Hospital (NESMH),Site,102096,Residence (Bridport),Building,101992,BLD163167,NESMH Residence  (Bridport) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Queenstown THS  Staff Accommodation (QTSA),Site,102174,Residence,Building,102051,BLD163144,QTSA Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Records storage,Building,101995,BLD163271,MCHP Records storage (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Westbury Community Health Centre (WCHC),Site,102207,Shed,Building,101719,BLD163263,WCHC Shed (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Zeehan Residence (ZSR),Site,102213,Residence (Unit 5),Building,101906,BLD163352,ZSR Residence  (Unit 5) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 5 & 6,Building,101965,BLD163282,NWRHP Residence - Unit 5 & 6 (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 9 & 10,Building,101958,BLD163281,NWRHP Residence - Unit 9 & 10 (BUILDING),Active
DoH Tasmania,Organisation,100095,North,Region,100092,Launceston General Hospital Precinct (LGHP),Site,102143,Services Building,Building,102075,BLD163333,LGHP Services Building (BUILDING),Active
DoH Tasmania,Organisation,100095,South,Region,100094,Wilfred Lopes Secure Mental Health Facility (WLSMHF),Site,102215,Semi Independent Living Units (SILU),Building,101690,BLD163257,WLSMHF Semi Independent Living Units  (SILU) (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Queenstown Ambulance Residence (QTAR),Site,102173,Residence,Building,102043,BLD163141,QTAR Residence (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,Mersey Community Hospital Precinct (MCHP),Site,102140,Residence - Units 3 & 4,Building,101927,BLD163277,MCHP Residence - Units 3 & 4 (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 11 & 12,Building,101972,BLD163280,NWRHP Residence - Unit 11 & 12 (BUILDING),Active
DoH Tasmania,Organisation,100095,North West,Region,100093,North West Regional Hospital Precinct (NWRHP),Site,102107,Residence - Unit 1 & 2,Building,101938,BLD163276,NWRHP Residence - Unit 1 & 2 (BUILDING),Active
